,,,Independent Variable,Independent Variable,Independent Variable,Distance moved,Velocity,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2
,,,Independent Variable,Independent Variable,Independent Variable,center-point,center-point,Arena / center-point,Arena / center-point,Arena / center-point,neutral zone / center-point,neutral zone / center-point,neutral zone / center-point,hot zone / center-point,hot zone / center-point,hot zone / center-point,inner circle / center-point,inner circle / center-point,inner circle / center-point
,,,mouse id,test,treatment,Total,Mean,Frequency,Cumulative Duration,Latency to First,Frequency,Cumulative Duration,Latency to First,Frequency,Cumulative Duration,Latency to First,Frequency,Cumulative Duration,Latency to First
,,,,,,cm,cm/s,,s,s,,s,s,,s,s,,s,s
Result 1,Trial     1,Start-0:01:00,582,test1,saline,228.898,3.81751,1,60,0,4,37.32,0,3,22.68,10.16,0,0,-
Result 1,Trial     1,0:01:00-0:02:00,582,test1,saline,169.058,2.81764,1,60,60,3,36.44,60,2,23.56,93.04,0,0,-
Result 1,Trial     1,0:02:00-0:03:00,582,test1,saline,205.578,3.43088,1,60,120,2,46.36,120,1,13.64,161.36,0,0,-
Result 1,Trial     1,0:03:00-0:04:00,582,test1,saline,116.425,1.9443,1,60,180,1,60,180,0,0,-,0,0,-
Result 1,Trial     1,0:04:00-0:05:00,582,test1,saline,218.711,3.65982,1,60,240,3,47.4,240,2,12.6,242.16,0,0,-
Result 1,Trial     2,Start-0:01:00,578,test1,saline,285.301,4.78051,1,60,0,4,35.92,4.08,5,24.08,0,0,0,-
Result 1,Trial     2,0:01:00-0:02:00,578,test1,saline,176.706,2.94904,1,60,60,4,30.52,70.6,4,29.48,60,0,0,-
Result 1,Trial     2,0:02:00-0:03:00,578,test1,saline,117.587,1.95978,1,60,120,2,54.52,120,1,5.48,156.36,0,0,-
Result 1,Trial     2,0:03:00-0:04:00,578,test1,saline,149.883,2.49804,1,60,180,2,52.68,180,1,7.32,205.36,0,0,-
Result 1,Trial     2,0:04:00-0:05:00,578,test1,saline,91.1809,1.51968,1,60,240,1,60,240,0,0,-,0,0,-
Result 1,Trial     3,Start-0:01:00,586,test1,saline,156.065,2.60629,1,60,0,2,49.36,2.96,2,10.64,0,0,0,-
Result 1,Trial     3,0:01:00-0:02:00,586,test1,saline,92.0889,1.53482,1,60,60,1,57.6,60,1,2.4,117.6,0,0,-
Result 1,Trial     3,0:02:00-0:03:00,586,test1,saline,102.824,1.71373,1,60,120,1,3.6,176.4,1,56.4,120,0,0,-
Result 1,Trial     3,0:03:00-0:04:00,586,test1,saline,48.4084,0.806806,1,60,180,1,60,180,0,0,-,0,0,-
Result 1,Trial     3,0:04:00-0:05:00,586,test1,saline,142.872,2.3812,1,60,240,2,51.8,240,1,8.2,258.72,0,0,-
Result 1,Trial     4,Start-0:01:00,583,test1,saline,299.334,4.99223,1,60,0,6,32.96,0,6,27.04,0.4,0,0,-
Result 1,Trial     4,0:01:00-0:02:00,583,test1,saline,204.383,3.41549,1,60,60,2,43.96,65.56,3,16.04,60,0,0,-
Result 1,Trial     4,0:02:00-0:03:00,583,test1,saline,197.329,3.28882,1,60,120,4,40.08,123.68,4,19.92,120,0,0,-
Result 1,Trial     4,0:03:00-0:04:00,583,test1,saline,129.699,2.16165,1,60,180,2,48.36,180,1,11.64,215.4,0,0,-
Result 1,Trial     4,0:04:00-0:05:00,583,test1,saline,149.497,2.49162,1,60,240,2,53.48,240,2,6.52,270.36,0,0,-
Result 1,Trial     5,Start-0:01:00,587,test1,saline,209.213,3.49388,1,60,0,2,54.52,4.64,2,5.48,0,0,0,-
Result 1,Trial     5,0:01:00-0:02:00,587,test1,saline,224.574,3.74289,1,60,60,4,41.6,60,3,18.4,68.8,0,0,-
Result 1,Trial     5,0:02:00-0:03:00,587,test1,saline,178.674,2.98188,1,60,120,2,44.44,120,1,15.56,141.56,0,0,-
Result 1,Trial     5,0:03:00-0:04:00,587,test1,saline,177.092,2.95153,1,60,180,3,50.16,180,2,9.84,226.16,0,0,-
Result 1,Trial     5,0:04:00-0:05:00,587,test1,saline,130.14,2.17189,1,60,240,2,53.52,240,1,6.48,274.48,0,0,-
Result 1,Trial     6,Start-0:01:00,590,test1,saline,290.084,4.83797,1,60,0,3,49.36,0,2,10.64,2.12,0,0,-
Result 1,Trial     6,0:01:00-0:02:00,590,test1,saline,242.729,4.15063,3,59.2,60,4,48.24,60,1,10.96,105.52,0,0,-
Result 1,Trial     6,0:02:00-0:03:00,590,test1,saline,228.438,3.83285,1,60,120,3,36.96,120,2,23.04,138.12,0,0,-
Result 1,Trial     6,0:03:00-0:04:00,590,test1,saline,174.363,2.91383,1,60,180,2,51.2,180,1,8.8,199.84,0,0,-
Result 1,Trial     6,0:04:00-0:05:00,590,test1,saline,192.948,3.22009,1,60,240,3,47.32,240,2,12.68,247.68,0,0,-
Result 1,Trial     7,Start-0:01:00,591,test1,saline,210.937,3.51796,1,60,0,3,38.68,0,2,21.32,3.08,0,0,-
Result 1,Trial     7,0:01:00-0:02:00,591,test1,saline,192.831,3.21385,1,60,60,2,41.6,60,2,18.4,76.56,0,0,-
Result 1,Trial     7,0:02:00-0:03:00,591,test1,saline,137.675,2.29459,1,60,120,1,36.08,143.92,1,23.92,120,0,0,-
Result 1,Trial     7,0:03:00-0:04:00,591,test1,saline,103.853,1.73088,1,60,180,1,60,180,0,0,-,0,0,-
Result 1,Trial     7,0:04:00-0:05:00,591,test1,saline,147.408,2.45681,1,60,240,2,40.4,240,1,19.6,251.2,0,0,-
Result 1,Trial     8,Start-0:01:00,600,test1,saline,287.763,4.81209,1,60,0,5,45.96,0,4,14.04,1.88,0,0,-
Result 1,Trial     8,0:01:00-0:02:00,600,test1,saline,231.25,3.86446,1,60,60,4,41.76,60,3,18.24,60.32,0,0,-
Result 1,Trial     8,0:02:00-0:03:00,600,test1,saline,252.169,4.20282,1,60,120,8,36.12,120,7,23.88,130.72,0,0,-
Result 1,Trial     8,0:03:00-0:04:00,600,test1,saline,126.788,2.11314,1,60,180,1,51.96,180,1,8.04,231.96,0,0,-
Result 1,Trial     8,0:04:00-0:05:00,600,test1,saline,155.494,2.59157,1,60,240,1,45.52,254.48,1,14.48,240,0,0,-
Result 1,Trial     9,Start-0:01:00,597,test1,saline,310.574,5.17969,1,60,0,7,28.68,0.28,7,31.32,0,0,0,-
Result 1,Trial     9,0:01:00-0:02:00,597,test1,saline,148.52,2.47864,1,60,60,5,24,60,4,36,61.24,0,0,-
Result 1,Trial     9,0:02:00-0:03:00,597,test1,saline,139.504,2.32817,1,60,120,2,40.12,120,2,19.88,152.4,0,0,-
Result 1,Trial     9,0:03:00-0:04:00,597,test1,saline,118.112,1.97115,1,60,180,1,28.96,211.04,1,31.04,180,0,0,-
Result 1,Trial     9,0:04:00-0:05:00,597,test1,saline,125.074,2.08457,1,60,240,3,58.28,240,2,1.72,259.04,0,0,-
Result 1,Trial    10,Start-0:01:00,581,test1,drug,219.443,3.65983,1,60,0,4,43.2,0,4,16.8,7.36,0,0,-
Result 1,Trial    10,0:01:00-0:02:00,581,test1,drug,154.805,2.58009,1,60,60,2,15.36,99.04,3,44.64,60,0,0,-
Result 1,Trial    10,0:02:00-0:03:00,581,test1,drug,192.374,3.20623,1,60,120,2,41.96,123.44,2,18.04,120,0,0,-
Result 1,Trial    10,0:03:00-0:04:00,581,test1,drug,171.505,2.85841,1,60,180,2,36.64,180,2,23.36,181.48,0,0,-
Result 1,Trial    10,0:04:00-0:05:00,581,test1,drug,161.648,2.70858,1,60,240,2,37.84,248.96,2,22.16,240,0,0,-
