,,Independent Variable,Independent Variable,Independent Variable,Distance moved,Velocity,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2
,,Independent Variable,Independent Variable,Independent Variable,center-point,center-point,Arena / center-point,Arena / center-point,Arena / center-point,neutral zone / center-point,neutral zone / center-point,neutral zone / center-point,hot zone / center-point,hot zone / center-point,hot zone / center-point,outer ring / center-point,outer ring / center-point,outer ring / center-point,middle ring / center-point,middle ring / center-point,middle ring / center-point,inner circle / center-point,inner circle / center-point,inner circle / center-point
,,mouse id,test,treatment,Total,Mean,Frequency,Cumulative Duration,Latency to First,Frequency,Cumulative Duration,Latency to First,Frequency,Cumulative Duration,Latency to First,Frequency,Cumulative Duration,Latency to First,Frequency,Cumulative Duration,Latency to First,Frequency,Cumulative Duration,Latency to First
,,,,,cm,cm/s,,s,s,,s,s,,s,s,,s,s,,s,s,,s,s
Result 1,Trial     1,582,test1,saline,938.848,3.13409,1,300.04,0,9,227.56,0,8,72.48,10.16,0,0,-,0,0,-,0,0,-
Result 1,Trial     2,578,test1,saline,820.676,2.73887,1,300.04,0,10,233.68,4.08,10,66.36,0,0,0,-,0,0,-,0,0,-
Result 1,Trial     3,586,test1,saline,542.297,1.80814,1,300.04,0,4,222.4,2.96,4,77.64,0,0,0,-,0,0,-,0,0,-
Result 1,Trial     4,583,test1,saline,980.609,3.27044,1,300.04,0,14,218.84,0,14,81.2,0.4,0,0,-,0,0,-,0,0,-
Result 1,Trial     5,587,test1,saline,919.82,3.06852,1,300.04,0,9,244.28,4.64,9,55.76,0,0,0,-,0,0,-,0,0,-
Result 1,Trial     6,590,test1,saline,1128.6,3.78929,3,299.24,0,11,233.12,0,8,66.12,2.12,0,0,-,0,0,-,0,0,-
Result 1,Trial     7,591,test1,saline,792.72,2.6424,1,300.04,0,6,216.8,0,5,83.24,3.08,0,0,-,0,0,-,0,0,-
Result 1,Trial     8,600,test1,saline,1053.67,3.51597,1,300.04,0,16,221.36,0,15,78.68,1.88,0,0,-,0,0,-,0,0,-
Result 1,Trial     9,597,test1,saline,841.796,2.80823,1,300.04,0,15,180.08,0.28,15,119.96,0,0,0,-,0,0,-,0,0,-
Result 1,Trial    10,581,test1,drug,899.796,3.00252,1,300.04,0,11,175.04,0,10,125,7.36,0,0,-,0,0,-,0,0,-
Result 1,Trial    11,580,test1,drug,1044.87,3.4857,1,300.04,0,13,160.6,0,13,139.44,1.52,0,0,-,0,0,-,0,0,-
Result 1,Trial    12,579,test1,drug,894.531,2.98416,1,300.04,0,8,153,16.72,8,147.04,0,0,0,-,0,0,-,0,0,-
Result 1,Trial    13,584,test1,drug,954.454,3.18236,1,300.04,0,16,188.04,0,15,112,9.12,0,0,-,0,0,-,0,0,-
Result 1,Trial    14,585,test1,drug,988.867,3.29842,1,300.04,0,12,201.64,0,11,98.4,4.72,0,0,-,0,0,-,0,0,-
Result 1,Trial    15,592,test1,drug,920.789,3.07093,1,300.04,0,15,96.64,9.08,16,203.4,0,0,0,-,0,0,-,0,0,-
Result 1,Trial    16,589,test1,drug,803.044,2.67681,1,300.04,0,10,211.48,0,9,88.56,8.4,0,0,-,0,0,-,0,0,-
Result 1,Trial    17,596,test1,drug,728.446,2.4288,1,300.04,0,5,228.96,0,5,71.08,12.28,0,0,-,0,0,-,0,0,-
Result 1,Trial    18,598,test1,drug,748.668,2.53031,4,296.56,0,9,248.48,0,5,48.08,106,0,0,-,0,0,-,0,0,-
Result 1,Trial    20,579,test2,saline,5912.82,4.92735,1,1200.04,0,0,0,-,0,0,-,99,738.52,0,142,372.36,3.72,44,89.16,14.68
Result 1,Trial    21,580,test2,saline,6416.79,5.34732,1,1200.04,0,0,0,-,0,0,-,86,829.16,0.92,117,206.08,0.4,32,164.8,0
Result 1,Trial    22,581,test2,saline,6865.47,5.72123,1,1200.04,0,0,0,-,0,0,-,86,707.32,0,134,347.2,7.48,48,145.52,30.68
